379,1503
4026,3413
738,4356
2773,1215
2778,2923
4394,3005
3801,869
4945,4843
6192,1852
2385,2354
1504,3452
3010,3933
4955,4974
2384,483
4086,3454
4393,3662
4531,1140
3222,4942
424,3776
4210,2842
1373,3007
3898,4350
593,4869
6027,6677
2973,583
859,2823
1380,3207
2104,2812
2793,5626
644,2999
4514,1853
4241,9015
490,4339
4890,212
5089,5586
5008,3565
97,2995
3106,372
475,852
1025,2118
370,1564
1568,844
737,2108
956,2116
2371,1052
2582,3023
850,3455
3788,3719
4076,4606
445,5703
3402,927
1108,2238
1296,4449
1614,3142
2825,3397
6235,1932
8000,3928
262,951
1674,6436
2069,1679
1681,2065
5081,1847
977,2235
2251,3383
7515,2255
4523,2751
3313,6263
4853,495
2629,2630
2462,5423
4318,743
4402,1235
1565,1829
3186,5007
5878,1543
1747,2221
706,1767
4707,4103
3108,5519
2645,6726
473,3783
1721,955
3760,871
469,2918
848,2218
836,1278
3577,2082
2225,477
3090,4077
3187,3791
7592,235
1435,1142
2123,788
845,3566
2520,846
6501,1438
4996,2780,503
873,300
2490,1919
2553,2042
3284,303
5208,5402
3861,3182
1694,5095
1827,3420
1587,2236
4891,3158
5234,4906
1155,2679
1584,3183
2787,2742
3355,3739
3856,5207
1781,1246
740,2372
857,1015
1248,2567
2067,2917
853,3279
4595,4204
273,271
3608,834,2459
6194,3523
1434,643
953,954
5853,3461
4321,6890
2841,1958,1959
2920,241,3102
712,441
2672,3516
1689,4684
1687,1686,1831
5481,2107,2109
3237,510,3607
1436,374
2240,2105
6384,3072
4978,3204
4515,6605
3987,2421
3836,7423
3721,4379
2921,4188
7649,6898
4737,863
589,2061
4739,4317
5971,4371
3227,2644
4050,4451
7577,305
5420,438
640,2467
3021,814
1850,1566
4320,1586
5164,6669
1545,1834,502
3141,2766
5617,4116
5618,4363
862,1918,2087
2058,8083
3968,4205
4341,8967
3561,649
3681,4189
7581,5733
7489,5974
1186,30
1576,694
4968,4969
4972,7125
7856,2381
1381,1374
4643,430
5856,2654
5363,2077
2457,2316
4284,2461
5780,860
4740,6134
2683,6548
5168,5533
5049,5902
5986,5778
1074,5151
2186,5830
4397,6789
1952,2967
4805,5431
3362,4966
8826,6797
1676,366,2919
5531,5532
6651,6940
2328,5096,1823
5442,3908
4040,7539
289,2106,4322
3713,2962
2731,4215
3874,6670
1377,218,828
5305,7340
217,1548,2053
841,466,3238
8576,8133
3665,1741
8009,4332
5450,8060
8257,8294
2957,3671
2602,2603
244,1525
4578,1917
6626,4973
