0,513,259,900,5,137,10,139,16,146,914,532,404,18,408,537,283,166,170,555,430,306,441,189,446,449,322,327,202,332,588,206,207,974,334,215,344,219,478,354,488,104,114,244,245,1013,378,255
128,129,512,3,6,9,138,267,141,403,533,26,30,287,414,161,38,171,55,442,572,317,319,320,448,199,456,457,74,203,204,461,585,79,338,340,476,92,101,103,107,366,370,117,247,377,250
257,897,520,521,392,395,525,654,399,400,17,402,538,28,160,545,290,292,552,557,175,308,53,184,570,187,700,195,196,69,201,75,463,208,337,81,853,599,375,99,376,234,236,493,110,496,241,498,497,116,503,248,505
1030,903,905,522,651,1038,1040,917,918,151,1046,789,799,543,930,935,810,811,554,301,438,697,185,186,828,833,71,459,716,849,723,983,600,479,98,740,868,871,872,617,490,619,622,238,1008,883,243,374,1015,122,763
640,1029,390,777,528,150,410,797,286,288,34,164,37,677,40,41,45,46,48,304,50,564,693,312,957,325,710,582,329,458,462,591,978,211,851,469,854,475,220,608,97,992,232,233,360,235,111,240,242,629,632
1026,1028,776,907,908,1037,779,911,1039,529,530,1045,791,920,669,803,933,807,681,940,685,814,823,825,698,826,829,576,587,846,848,977,976,981,984,474,732,477,990,889,862,1002,875,748,878,1006,1009,755,761,502,633
899,132,643,775,648,1033,653,14,655,784,767,663,923,29,927,928,929,546,931,932,806,936,682,812,563,437,954,316,578,453,847,722,852,470,343,726,473,987,866,996,742,362,363,1004,113,760,1017,1020,893,1022,511
514,131,517,646,135,1031,393,394,650,264,901,144,531,152,409,795,412,162,165,294,553,938,42,942,704,960,450,583,328,331,82,339,341,471,221,607,991,483,869,491,108,495,239,368,500,373,118,120,121,123,509
1024,645,1032,904,1035,1036,1043,661,664,922,794,924,926,158,672,673,674,675,802,291,172,941,559,687,815,943,565,571,445,318,323,709,72,73,970,464,850,724,468,342,730,610,867,229,230,873,494,750,625,757,890
510,136,649,523,268,269,270,271,272,273,274,275,276,277,278,279,657,921,154,670,676,293,678,679,422,809,296,683,560,690,956,190,575,192,718,857,603,95,995,356,227,616,1005,124,626,627,252,1019,508,765,638
769,516,637,134,391,265,906,652,781,401,658,787,406,534,551,680,558,686,178,691,948,824,827,574,447,577,834,962,708,966,712,969,592,210,979,725,598,986,90,988,734,492,367,628,756,630,504,635,636,1021,639
771,1034,783,1042,659,788,916,662,665,944,561,307,436,951,440,313,952,573,830,703,831,581,842,843,595,980,982,727,728,858,602,733,606,613,870,741,744,745,1001,1003,876,237,615,623,624,1007,753,884,885,891,766
896,515,772,519,1041,785,915,786,919,666,925,548,173,177,820,821,567,953,61,702,706,579,324,963,455,840,841,968,717,589,335,336,593,84,86,87,859,222,223,224,994,762,1000,621,749,752,1010,1011,1014,634,506
384,385,386,387,898,389,388,266,142,913,660,148,536,157,550,298,945,562,949,822,439,695,315,188,701,63,321,707,326,584,972,973,719,720,721,975,214,855,731,865,226,614,747,751,880,881,249,379,892,382,383
256,770,642,644,773,518,262,263,260,258,261,782,1044,27,668,804,684,556,816,689,946,947,819,958,832,451,452,965,838,839,714,212,345,346,347,348,349,350,735,736,352,353,351,487,105,877,754,887,507,253,254
768,641,647,778,396,397,526,527,13,12,535,793,281,539,282,541,411,542,540,544,549,805,300,302,303,688,54,569,443,955,705,194,964,711,713,845,594,597,604,864,993,738,739,998,999,361,489,874,746,369,759
1025,524,398,145,407,280,792,153,796,547,295,167,297,937,299,939,181,566,183,694,568,58,60,961,836,68,454,586,460,205,213,601,91,93,480,481,482,355,225,737,228,743,231,620,364,112,886,888,1018,764,1023
1027,780,909,910,405,667,285,413,415,671,417,418,419,420,421,801,423,424,425,426,427,428,429,813,431,432,433,434,435,692,416,182,444,66,76,333,77,216,985,217,989,94,611,357,358,882,758,126,380,894,127
774,656,22,800,934,168,169,818,180,309,310,311,696,57,314,699,835,580,837,198,967,330,971,715,844,590,466,467,596,856,89,729,860,605,863,609,484,485,486,359,612,618,365,879,371,499,372,631,251,381,895
65,902,790,155,861,31,36,997,43,44,47,49,817,51,1012,115,950,1016,959
