128,129,130,193,5,582,7,200,9,74,138,139,78,79,80,18,147,55,26,155,156,218,38,102,103,234,554,106,107,171,496,116,117,438,503
512,3,6,137,10,141,16,17,403,659,533,408,24,27,28,29,414,287,32,30,284,166,41,170,430,51,441,57,442,572,317,189,319,448,320,322,199,457,203,204,461,207,208,338,340,215,87,472,219,92,476,861,101,104,366,370,244,245,246,247,377,250
0,2,771,1034,267,14,783,1042,916,788,662,20,22,665,161,35,292,944,561,951,952,313,573,830,831,832,703,61,456,842,843,202,206,81,595,980,982,727,728,858,733,606,613,741,870,744,1001,745,1003,876,877,237,623,1007,624,114,884,885,891,766,639
640,899,900,1030,903,905,522,651,271,1040,402,789,1046,917,918,921,537,923,543,930,290,936,557,46,48,563,693,697,185,186,828,957,446,192,833,962,449,71,585,458,459,716,974,723,983,600,343,986,603,988,479,992,97,98,740,868,742,871,872,617,1005,622,1008,243,1013,1015,1017
1026,1028,776,907,908,1037,779,1039,911,1038,1045,791,920,669,670,799,803,676,933,675,935,810,940,685,814,823,825,698,826,829,834,453,712,846,976,849,981,984,732,990,889,862,1002,875,1004,878,1006,1009,755,502,761,1019
897,392,520,521,395,268,269,654,399,400,273,278,534,538,158,160,545,291,37,39,40,552,45,175,50,178,308,53,184,570,187,700,318,190,195,196,69,73,464,337,850,468,853,342,599,99,493,110,113,498,248,505
896,513,515,132,643,519,775,1033,781,653,785,1041,915,927,929,546,931,548,678,551,806,807,812,819,948,821,953,954,965,840,841,588,848,86,470,987,222,224,866,996,1000,752,754,1011,1010,1014,760,633,634,635,1021,511
514,131,516,773,134,1031,135,393,394,638,652,655,784,658,274,1022,406,919,412,928,294,172,691,824,827,316,574,447,577,578,579,708,966,847,592,210,851,84,725,598,852,722,473,90,859,994,616,492,756,630,637,510
517,902,649,12,529,786,787,530,790,410,795,288,34,165,677,938,300,301,558,47,686,177,564,437,959,960,65,576,325,587,591,335,82,1016,729,734,991,223,608,995,997,504,490,491,747,363,115,1012,628,632,124,765
256,257,770,259,644,642,262,518,263,258,261,1029,782,401,1044,663,668,797,804,553,682,556,684,816,689,946,947,958,451,452,838,839,714,212,344,345,346,735,352,736,353,351,356,487,105,497,887,253,378,507,893,254
636,769,772,390,391,136,142,657,914,767,660,151,152,536,666,154,679,680,809,681,811,683,173,567,701,702,63,575,968,969,972,717,718,590,977,593,979,596,726,88,89,220,350,762,360,619,748,883,252,122,508,255
901,648,264,265,270,279,925,286,164,934,42,942,49,818,950,956,706,324,580,710,455,584,589,334,341,469,857,474,475,477,375,95,607,484,612,869,362,123,108,749,365,367,240,239,627,629,373,374,376,118,763,1020
1025,646,777,524,398,144,145,272,528,404,150,407,280,792,153,796,285,547,295,297,937,299,939,44,304,566,183,58,60,961,836,454,967,586,460,205,91,93,480,481,482,355,737,743,231,620,364,112,888,1018,764,1023
260,774,656,275,276,283,800,162,168,169,296,43,817,306,309,310,311,56,696,699,835,837,198,971,715,975,336,467,339,471,860,349,221,94,354,483,485,486,359,618,879,368,371,499,500,631,120,121,506,251,509,895
768,641,778,396,397,526,527,13,535,793,282,539,411,541,542,540,544,549,805,302,303,688,54,568,569,955,444,443,705,194,964,711,713,330,845,594,597,604,605,864,609,738,739,993,998,999,361,489,874,746,369,759
384,385,386,387,898,389,388,892,266,913,146,148,281,157,31,293,550,555,560,945,690,180,949,181,439,695,822,314,315,188,321,707,326,973,719,720,721,213,214,855,731,865,226,614,621,751,880,249,379,380,381,382
1027,780,909,910,894,405,277,667,413,415,416,417,418,671,420,421,422,423,424,425,426,427,428,429,813,431,432,433,434,435,692,182,36,419,801,66,76,333,77,332,216,217,985,348,989,225,357,358,882,758,126,127
647,650,523,525,531,532,409,298,562,307,436,565,694,312,440,704,450,68,581,583,328,329,201,331,327,462,463,978,211,466,854,601,602,347,478,863,611,615,232,233,488,235,236,238,495,111,753,242,881,241,372,383
1024,645,904,1032,906,1035,1036,1043,661,664,794,922,924,926,672,673,802,674,932,167,941,687,815,943,559,820,571,445,963,323,709,72,970,75,844,724,856,730,610,227,867,228,230,229,873,750,494,625,626,757,886,890
