2,130,900,1032,1034,906,1042,659,1043,18,147,664,797,413,674,290,683,173,562,307,436,951,440,313,567,571,446,193,963,581,202,843,78,79,208,978,595,854,728,602,478,610,102,615,106,877,238,494,624,753,881,114,625,626,243,757,502,890,1022
520,393,528,531,405,22,795,157,415,416,545,294,424,554,427,304,438,312,57,315,189,321,66,68,582,583,710,329,201,333,462,81,211,213,217,346,221,353,99,611,357,358,232,233,234,235,488,496,497,242,368,116,500,503,249,379,509,127
128,129,3,5,6,7,9,138,267,532,20,26,155,284,156,30,287,414,161,292,166,167,430,306,442,572,317,448,449,322,323,327,72,457,74,456,332,206,80,338,724,340,215,472,856,218,92,861,229,230,104,107,366,370,117,246,377,250
647,396,397,526,399,16,402,281,537,411,540,28,170,55,954,443,700,713,458,77,463,479,738,739,490,874,746,369,759
897,388,266,10,525,17,412,158,160,559,308,565,445,318,69,73,75,76,464,850,342,214,216,226,236,493,241,248,253
896,512,513,515,519,1041,785,915,786,534,919,24,666,32,547,548,35,39,557,177,819,820,821,56,953,702,575,706,579,324,455,840,841,588,589,590,717,335,336,84,853,86,87,88,729,859,219,222,223,224,225,994,101,1000,621,749,752,112,1010,1011,754,506,1014,1013,634
640,646,392,521,651,268,269,654,271,272,273,400,278,279,409,410,288,164,165,552,298,938,175,181,693,184,185,186,570,190,195,196,71,591,207,337,467,341,599,603,992,737,98,376,1005,239,498,115,373,118,375,632,122,123,383
385,898,1026,1028,514,907,908,779,1039,148,791,920,152,669,670,672,676,933,806,295,807,677,810,940,685,945,817,822,826,959,704,453,976,977,721,851,343,474,987,732,477,866,483,363,748,1006,751,113,755,761,629,633,1019,1020
384,641,382,387,773,901,389,892,778,395,274,275,276,663,793,538,162,429,942,560,690,950,695,444,188,960,968,845,846,720,594,339,468,220,93,991,864,121,97,356,869,614,616,361,362,240,1009,627,120,505,380,765,638,767
1024,899,904,776,1035,1036,1038,1040,917,789,921,794,922,799,673,675,803,936,811,941,814,815,687,943,563,697,828,829,957,707,709,970,719,849,723,983,600,730,731,862,865,867,228,740,742,873,617,619,1004,750,622,880,1015,1017
1025,386,524,398,270,660,407,280,535,796,541,293,934,296,937,297,939,299,818,180,566,183,58,314,956,701,705,964,454,967,586,330,972,205,844,973,596,471,89,605,94,95,481,609,355,612,227,743,124,888,1018,252,381,1023
390,264,777,522,144,277,150,151,153,286,543,168,169,300,301,302,564,309,310,437,696,568,699,192,194,837,198,325,715,460,459,975,466,475,860,608,482,484,485,486,359,360,231,618,364,620,108,879,499,372,886,631,374,251
768,772,391,648,649,1037,142,653,529,530,1045,154,925,542,291,809,812,686,688,949,54,823,824,439,698,574,576,577,961,966,326,969,587,971,592,593,722,979,981,984,473,990,995,998,999,744,489,1002,491,878,367,756,762,510
769,132,637,265,1033,652,781,655,784,527,658,787,406,927,928,800,546,931,929,551,680,558,178,948,569,827,316,447,834,962,708,580,712,847,210,852,725,598,855,1016,986,90,988,604,734,993,492,628,1012,630,504,635,636,1021
256,257,770,259,644,260,262,518,263,258,261,1029,782,145,146,657,1044,283,668,544,804,682,555,556,684,816,689,946,947,958,451,452,838,839,711,714,212,597,344,345,347,348,349,91,351,352,354,487,105,887,378,507,764,254
771,643,774,775,650,523,511,783,656,401,788,662,895,790,678,944,561,694,952,573,830,703,831,450,578,965,328,331,848,980,470,727,726,601,733,606,863,607,736,735,996,613,997,745,1001,1003,237,623,1007,495,884,760,893,639
1027,780,910,914,792,536,282,667,539,285,671,801,418,419,420,421,422,423,417,425,426,679,428,813,805,431,432,433,434,435,692,303,182,311,955,584,549,718,334,550,469,985,857,989,350,480,681,747,882,371,758,508,126,255
642,131,516,517,134,135,1031,136,394,1030,902,909,903,905,911,913,916,661,1046,918,665,923,924,926,930,802,932,935,553,172,645,691,825,833,835,836,842,716,82,982,868,741,871,872,875,365,111,1008,883,885,889,891,894,763
0,12,13,14,533,27,29,31,34,36,37,38,40,41,42,43,44,45,46,47,48,49,50,51,53,60,61,63,832,65,319,320,585,858,870,103,876,110,137,139,141,403,404,408,171,441,187,199,200,203,204,461,974,476,244,245,247,766
