0,128,129,3,130,5,6,7,9,138,139,268,269,271,273,18,147,403,533,278,26,155,156,284,30,287,414,38,171,55,442,572,317,190,319,192,320,199,200,457,74,203,461,78,79,80,338,472,218,861,102,103,106,107,1005,370,117,246,247
256,257,512,388,261,1033,525,654,14,16,22,27,158,416,161,290,291,292,37,928,930,41,42,299,45,559,48,50,565,58,60,445,318,446,704,63,66,195,68,69,61,71,72,448,75,76,204,463,464,81,82,210,340,853,86,87,216,599,89,91,84,90,355,101,104,236,241,497,1013,375,253
897,513,900,137,10,267,12,13,141,399,266,17,532,404,534,408,537,28,29,412,160,545,166,40,170,430,175,306,308,53,54,184,441,57,187,189,449,322,454,327,456,585,202,73,332,77,206,207,208,201,588,337,974,342,215,219,476,92,478,226,99,488,493,110,366,114,244,245,377,250,379
131,520,521,522,651,393,394,392,395,400,402,538,286,543,34,294,552,554,172,301,46,557,51,564,438,185,186,570,700,65,196,582,458,459,850,468,479,608,248,98,376,490,234,238,496,498,115,243,116,374,503,632,505
1026,514,1028,517,390,1030,903,905,902,1038,911,1040,917,918,151,1046,789,410,799,288,675,164,811,300,693,697,828,829,957,833,194,329,716,591,849,723,983,600,992,740,868,871,360,617,872,619,746,622,1008,883,1015,122,763
384,640,776,907,779,270,1039,913,157,803,165,677,933,810,942,814,945,49,822,826,315,321,707,710,583,462,719,976,721,214,854,474,731,477,862,889,865,482,611,97,233,235,108,748,880,240,242,627,629,373,502,761,249
898,899,643,1029,1031,1020,653,908,660,663,920,791,923,797,669,31,936,553,682,683,556,429,812,685,560,940,690,563,695,575,453,326,977,851,343,987,220,732,742,614,616,362,363,1006,751,113,633,755,630,1017,892,765,767
1025,646,383,264,777,650,398,144,145,528,531,150,407,280,153,796,36,295,297,937,939,44,938,47,304,181,694,183,312,568,437,450,836,325,586,460,205,211,341,213,601,475,481,737,231,232,620,364,239,888,1018,764,1023
769,385,516,134,391,510,775,135,781,784,1021,401,787,806,807,558,178,567,824,439,316,574,447,703,577,834,962,578,961,966,712,592,848,722,598,470,726,986,988,734,866,995,996,997,492,367,760,756,504,762,636,637,1022
382,387,389,901,524,272,274,275,148,277,279,152,921,409,795,670,162,676,678,298,43,817,950,188,959,960,328,969,331,720,339,471,603,221,94,991,607,483,356,869,618,123,111,368,495,500,118,120,121,1019,124,509,638
1027,136,909,405,792,536,667,285,413,671,415,801,418,419,420,421,422,423,424,425,426,427,428,679,550,431,432,433,434,435,692,417,182,566,584,333,718,469,985,217,857,989,480,357,358,809,747,882,758,126,508,894,127
386,774,265,656,276,293,934,168,169,680,296,818,180,309,310,311,696,314,699,956,701,835,580,837,198,967,715,972,973,975,466,467,596,860,605,93,95,484,485,486,359,365,879,371,372,499,628,631,380,251,252,381,895
771,1034,523,783,659,788,916,662,665,944,561,562,307,436,440,313,952,573,830,831,832,581,842,843,978,595,980,982,727,728,602,733,606,863,613,870,741,744,745,1001,1003,876,237,615,623,624,1007,881,753,884,891,766,639
132,648,649,652,1037,142,655,910,529,658,530,1042,1045,406,790,154,927,800,929,546,931,551,681,686,691,948,823,951,827,576,708,965,587,847,979,852,725,981,855,984,473,858,780,990,1002,875,491,877,878,1012,1016,635,511
770,259,644,773,262,518,263,642,260,258,782,657,914,146,1044,283,668,804,555,684,816,689,946,947,958,451,452,838,839,714,334,212,344,345,346,347,348,349,350,735,736,352,354,353,351,487,105,887,378,507,893,254,255
768,641,647,778,396,397,526,527,535,281,282,539,411,541,793,542,540,544,549,805,935,302,303,688,569,954,955,444,443,705,964,711,713,330,845,846,594,597,604,864,609,738,993,612,739,998,999,361,489,874,369,1009,759
1024,645,904,1032,906,1035,1036,1043,661,664,794,922,924,926,672,673,802,674,932,167,941,813,687,815,943,825,698,571,963,323,709,970,844,724,856,730,610,227,867,228,230,229,743,873,1004,750,494,625,626,757,886,885,890
896,515,772,519,1041,785,915,786,919,666,925,547,548,173,177,819,820,821,949,953,702,706,579,324,455,840,841,968,971,717,590,335,589,336,593,729,859,222,223,224,225,994,1000,621,749,752,112,754,1010,1011,1014,634,506
