1960,6153,3467,4089,4058,703
3211,3859,1204,9715,4728
2784,3822,4433,3285,2396
229,5453,4013,342,3131
5568,5993,3593,5302,1272
1319,3630,2670,2261,9402
903,3273,1866,812,988
4940,6128,6387,7767,6169
1156,1964,980,1659,4445
7712,5219,4874,1771,1535
2690,5641,5582,8782,5871
451,2672,4016,4184,5823
3750,4553,6094,1334,7066
9282,1606,1132,1069,2518
8810,7793,5975,3834,4955
1896,4617,5842,1332,6996
3048,7148,3181,1686,9308
6562,8840,8942,377,894
2912,7849,6572,2133,1275
3200,2857,5104,6331,5852
6728,7337,1037,1171,6847
8039,1737,6569,7412,2748
4709,70,4750,6995,6583
1064,3725,9650,5682,4760
707,3151,6354,2548,2204
3232,387,2701,5071,8825
58,8703,2419,7706,3167
196,7013,4493,5078,567
5477,7144,8812,5549,284
6819,5060,6948,2481,4797
5504,2409,4980,3672,3005
4422,977,2101,3446,4539
5065,4906,6284,2712,2652
6955,6412,7988,8152,8255
2658,1444,1959,2507,3471
6624,2149,3176,8660,4057
137,7529,4491,9006,6652
1674,592,6002,6262,8985
4199,7924,887,1017,3998
10376,1065,522,4792,3641
8772,7465,3344,1617,3350
2338,934,3112,4111,9052
8295,1387,1231,3667,374
2082,10148,971,5877,6359
4640,6082,1907,6779,2527
4832,8615,2890,716,4654
871,5933,463,2355,3030
996,6662,1834,2094,4985
9506,843,3346,405,2904
4009,4107,3149,9299,7740
3522,7112,8360,7378,2109
3339,7980,9840,7226,6238
4483,933,5545,1140,7388
7814,1455,3638,5624,1790
3855,3474,6486,9367,6655
7269,5389,6478,2651,348
3585,929,4396,2065,1366
8611,9320,4041,6042,7967
6724,1446,499,8156,6110
1187,6533,7468,8439,825
8416,7169,1516,5231,8092
1252,1957,3047,4300,2286
4643,3883,4759,3001,5116
1696,6003,4185,7067,892
8616,5712,8723,6842,3677
5447,1808,4209,1179,4318
5601,7469,2191,6032,2353
3458,998,3147,50,8122
673,357,8822,5405,4958
1768,5583,4017,1077,3996
1225,5004,7501,4220,511
1345,6309,6956,2195,1215
1740,2671,3514,5692,5279
1091,3690,718,5748,8540
896,1092,6277,10257,8319
7041,6563,1684,8700,1629
192,7076,1093,2197,5243
1094,2957,8175,3326,2398
7841,4395,565,5080,4666
4002,2438,7789,9908,4926
1359,6256,8370,8018,8346
2884,4587,947,7801,7645
3109,1355,5619,6552,316
7718,2920,2060,3318,2459
1541,2187,3124,2041,2556
3747,1220,4005,3343,1530
8967,5128,6409,5013,1495
3012,1556,3357,2428,6749
166,1843,6200,187,9245
6979,5554,500,56,7002
5514,5098,3871,629,4191
5559,2520,3671,7320,3386
1120,5610,1106,1078,8633
128,5932,3662,602,4251
289,2346,1868,6447,5627
3336,7821,4302,725,6140
4454,4884,9109,6294,2713
5507,1962,3693,1401,4028
2052,5093,677,1943,1274
827,4844,2380,1358,4315
7396,6247,5160,3785,8596
710,2924,8791,2938,9627
6947,3113,1897,6124,1816
5442,1286,10033,2294,2143
3360,4586,7534,9359,2740
2381,1199,660,2068,154
2305,5409,1995,6925,2301
0,1975,8889,3709,9855
6158,336,5715,7251,8503
6220,5264,3984,1107,5886
3521,7490,6086,1003,2420
8545,8425,7344,3990,6975
4522,3247,5749,983,6456
524,4464,3473,4756,857
6502,6342,8591,4567,8731
610,8806,339,501,6678
1280,8544,6924,2295,1723
3459,4584,1524,6267,3261
4164,9734,1615,2896,2933
6311,1772,3727,3955,7029
4928,5988,5162,4842,3212
1025,713,7657,3788,8944
6592,5250,5735,1419,6077
1258,5521,6516,1654,671
3875,1668,7302,2668,340
609,9154,4326,7015,2954
2856,7372,5595,5822,4575
8675,5965,8916,3767,2559
9417,2383,5335,9755,5342
5025,1066,9460,1758,3391
198,4458,10324,4022,5594
1892,5198,464,7319,4351
4867,461,430,2738,9013
5258,7983,3376,6164,7327
5569,4515,5764,2569,4108
1032,5007,2364,7452,6303
4736,4423,1735,8304,6367
1352,1386,1644,6832,5938
2176,194,2312,3977,117
9058,1543,5640,3319,666
4675,2257,5170,6100,9690
1481,9196,591,304,3983
5122,774,5135,4120,1118
1709,5169,5621,1655,3772
6599,5372,2267,7356,4255
5505,9348,4900,2802,4180
1571,3239,1671,777,2136
1921,9697,6663,1207,7034
1797,2252,8463,2835,6391
930,6818,2605,4979,3931
1315,7878,5419,4334,4761
1083,8882,3862,3803,3838
907,2162,6584,5725,9183
3905,8996,1574,2131,1628
5193,3477,4278,8694,1496
6882,9603,266,3243,7506
8071,1711,5177,8893,7518
865,679,4910,2393,5501
1602,3779,5869,1296,8182
7649,5958,7175,1261,3315
3046,6376,6806,151,5532
6496,9003,7438,3195,5214
3394,7206,2059,7084,4972
6497,4547,2219,5939,11383
493,6803,3830,2170,6366
2849,6161,3284,2037,3708
8163,4294,3821,2163,8344
9225,1742,5777,724,4636
7470,8693,4630,792,2939
4004,8493,6862,5616,8917
5605,5224,1165,7183,2296
10342,4652,10739,5883,7294
9127,1326,784,5201,8337
7779,8685,8877,6930,9396
3271,6608,9619,7063,3516
5824,3778,6129,1172,7739
8097,7560,5739,8375,5307
874,6060,5553,1212,6302
8032,1829,3590,527,2161
5696,8984,2962,1656,3293
961,4450,7502,341,1464
7843,7077,2455,6075,510
6913,6436,8465,6936,2490
5327,4149,8535,6295,7321
3554,7550,7758,637,7806
6528,2410,8141,3992,4031
3815,1799,7911,6986,589
5184,9543,10959,2514,2491
6755,5991,3156,662,7935
8351,3045,9291,3986,6623
99,6027,5387,754,8250
6561,5620,9400,3678,6399
3264,7975,6697,4748,9310
4416,5385,5645,7797,2519
4961,6307,2243,6769,8479
