3196,908,4100
2996,4
2083,7045
8771,3499,726
3264,3932
4833,4289
505,4406
4866,3099
2603,2539
4330,4637
2355,3909
1534,7710
8093,902
1531,5814
1262,2975
2950,4503
7137,7
1198,10262
2168,915
1731,2663
5232,647
3793,1883,3523
9828,5180
6306,9774
10308,22
11824,5567
1803,9438,6967
988,3684
9650,3382
2101,1959
1896,3589
1740,5396
1960,1345
10680,8551
1556,6630
4292,5703
3037,4487
6162,1843
5371,1957
1662,5135
1880,43
3242,7924
4961,5725
24,1487
1629,4422
10168,8132
1496,1868
1003,9855
1705,7941
7657,1668
1897,2198
2954,6350
8088,3727
5865,8660
1227,6566
6421,7439
8025,41
2848,8872
4897,4553
4137,7315
7362,4594
2097,4780
6970,396
4136,1559
6257,10221
8732,3102
7369,5613
3476,10637
1305,6786
6816,891
3958,5662
8539,6039
11419,76
2554,9036
11200,2425
12440,5658
9632,6865
6445,5581
11420,11702
12426,11411
9628,4007
4880,11722
2550,5959
4888,5796
3010,10311
6681,7509
9300,3494
9448,11364
11547,5863
9473,3423
11387,2731
12508,8054
1825,7053
6789,6494
10001,1951
8042,7517
1730,10290
11933,10295
6444,11927
11090,10871
8900,6719
3701,9463
1844,4437
11536,12666
10877,10638
2472,247
7368,9266
10417,9383
7238,3615
11746,11335
5200,245
10362,2174
6889,298
6176,9654
11964,8572
2588,9358
9796,484
11408,3797
635,12007
227,2183
5394,3322
12386,11173
12752,12870
11747,12935
12517,12934
9289,12562
12913,12822
2478,12815
1528,11503
8530,12382
2503,12591
10689,11595
2545,1307
11194,11095
11372,9180
8666,990
11451,2517
4216,12534
11045,10389
8361,9802
6512,12485
12769,2021
12320,12362
4200,12211
7065,8975
8489,10916
9876,5269
12480,10742
12177,8582
1869,10173
12710,10159
10203,5612
11464,3125
10854,12470
7130,6668
9050,10758
11242,9973
10125,2599
8963,10671
4248,5029
5465,11761
12399,2815
5644,7765
1681,9538
3050,10270
7216,10652
11496,6338
11036,8159
12570,11890
10616,10699
9073,1847
12153,11737
3816,12045
10658,6396
2764,12327
12587,4991
11416,8721
11545,12543
10882,11062
11795,10227
12208,10554
12554,4662
11705,12207
6632,3358
10672,11022
12417,10943
11130,11461
11234,11958
10382,10631
1136,6451
11888,12013
11155,12685
4156,9143
