3969,2,4100,3847,3591,394,787,10003,5272,4506,5020,4125,2719,32,2340,37,2981,6310,4780,819,2615,1337,830,2244,3018,970,5710,4561,7508,3029,6869,7127,87,7262,4446,1248,4833,994,7907,3935,741,3944,3562,1642,11244,3947,618,623,6000,1137,4081,2546,884,4213,6390,2551,4089,763,2430
9730,771,4745,6923,3853,4754,6802,8980,5499,1563,10396,411,1435,4258,3490,553,6187,5935,3120,2225,8627,5046,1720,2105,443,60,3133,9021,8256,3523,3652,1221,2251,78,7763,1238,3031,600,7641,4694,3288,4067,107,4204,10608,1780,6004,3577,6395,3453
2689,4228,5124,4485,2188,6031,2704,10641,912,3863,2846,5920,808,1320,3626,938,814,46,3503,2096,3765,1594,3771,4290,1732,6469,454,7748,6088,10056,5450,2509,6861,8014,4816,4434,1620,4566,9305,7642,2657,4322,1635,739,231,877,5241,506,2685,4223
4864,9088,4481,3715,260,7690,267,4751,1042,3349,4632,6424,4378,5916,1055,8992,1443,419,2086,10151,2088,937,1450,10283,3884,1837,6839,6327,5179,703,1090,5061,1227,6864,7634,1492,7253,6362,8287,608,1377,1253,2279,1005,3183,3443,1012,6133,760,123
4233,4490,1549,2323,2326,1022,10390,6937,6682,922,5403,2336,290,5284,5670,1964,10286,6833,2099,1331,951,4923,3899,1469,1470,3651,452,2757,6600,4686,2768,2001,4306,8407,3416,9689,3325,2395,1632,7904,7137,613,7784,8169,115,2164,2807,1400,4349,6526
4224,4239,3731,2211,1701,3757,1204,4532,4151,10815,1727,2505,202,2390,1883,3419,352,7394,2405,2408,1130,4589,6006,8696,3071
143,8471,5016,435,4405,4795,1984,6465,3266,4679,457,4682,2644,2261,1372,1116,224,4195,4716,8941,2927,4080,7413,5371,3967
7813,5254,2055,3211,5261,7950,8848,1425,3352,25,1946,3999,2848,8228,5541,6566,1447,294,6058,5034,5807,5168,3633,7862,2359,2874,8907,7118,848,4433,3538,1747,2901,4822,6102,217,346,6236,8669,222,4840,4585,5480,3053,7917,1263,6509,5878,8441,126
5251,3975,775,6153,1679,7056,1682,2837,4118,5656,3865,7707,7069,4637,4381,800,1955,2216,1960,3625,6440,2348,6960,8371,4661,5306,3259,2495,1472,7873,4808,1096,4555,1360,4945,5840,5203,3158,4058,1626,1376,1640,5353,3305,2154,6132,5365,2811,2044,1406
7554,6402,3460,2822,3206,2186,4607,1302,2073,5149,2079,5281,7458,3238,4139,4653,6062,4143,943,2356,4026,1466,1478,3913,3530,6479,3792,4432,2641,3159,7511,4696,2394,9303,7261,9056,4965,3430,6888,105,1259,2799,1904,7538,2677,4600,2427,5240,2429,1663
4605,2690,2441,6155,9235,9498,2331,10779,924,2205,927,7585,8355,2212,6438,424,168,1076,2809,3127,5432,2240,320,2753,66,6471,1999,4689,82,344,3807,5728,6754,2914,3940,4578,8938,7274,235,4855,7019,6899,6900,3700,3699,2679,2808,1273,4986,509
